train_sub\0119_3img2041_s001.JPG train_labels_sub\0119_3img2041_s001.png
train_sub\DJI_0424_heda_s006.JPG train_labels_sub\DJI_0424_heda_s006.png
train_sub\DJI_00587_s008.JPG train_labels_sub\DJI_00587_s008.png
train_sub\001221_s007.JPG train_labels_sub\001221_s007.png
train_sub\0119_4img2031_s004.JPG train_labels_sub\0119_4img2031_s004.png
train_sub\DJI_0021_s001.JPG train_labels_sub\DJI_0021_s001.png
train_sub\0119_3img2041_s007.JPG train_labels_sub\0119_3img2041_s007.png
train_sub\DJI_0514_s009.JPG train_labels_sub\DJI_0514_s009.png
train_sub\DJI_00584_s005.JPG train_labels_sub\DJI_00584_s005.png
train_sub\001301_s008.JPG train_labels_sub\001301_s008.png
train_sub\DJI_00587_s009.JPG train_labels_sub\DJI_00587_s009.png
train_sub\DJI_0297_s001.JPG train_labels_sub\DJI_0297_s001.png
train_sub\DJI_0523_s007.JPG train_labels_sub\DJI_0523_s007.png
train_sub\0119_3img3021_s007.JPG train_labels_sub\0119_3img3021_s007.png
train_sub\0119_5img1011_s003.JPG train_labels_sub\0119_5img1011_s003.png
train_sub\DJI_0391_s002.JPG train_labels_sub\DJI_0391_s002.png
train_sub\DJI_0431_heda_s002.JPG train_labels_sub\DJI_0431_heda_s002.png
train_sub\DJI_0322_s010.JPG train_labels_sub\DJI_0322_s010.png
train_sub\0119_4img1011_s001.JPG train_labels_sub\0119_4img1011_s001.png
train_sub\001541_s002.JPG train_labels_sub\001541_s002.png
train_sub\DJI_0421_s007.JPG train_labels_sub\DJI_0421_s007.png
train_sub\DJI_00554_s008.JPG train_labels_sub\DJI_00554_s008.png
train_sub\DJI_0421_s008.JPG train_labels_sub\DJI_0421_s008.png
train_sub\DJI_0385_s012.JPG train_labels_sub\DJI_0385_s012.png
train_sub\DJI_0505_s006.JPG train_labels_sub\DJI_0505_s006.png
train_sub\DJI_0519_heda_s012.JPG train_labels_sub\DJI_0519_heda_s012.png
train_sub\DJI_0409_s007.JPG train_labels_sub\DJI_0409_s007.png
train_sub\DJI_0493_s003.JPG train_labels_sub\DJI_0493_s003.png
train_sub\DJI_0412_s006.JPG train_labels_sub\DJI_0412_s006.png
train_sub\0119_5img1011_s012.JPG train_labels_sub\0119_5img1011_s012.png
train_sub\DJI_0285_s008.JPG train_labels_sub\DJI_0285_s008.png
train_sub\0119_4img1011_s010.JPG train_labels_sub\0119_4img1011_s010.png
train_sub\DJI_0667_s011.JPG train_labels_sub\DJI_0667_s011.png
train_sub\DJI_0418_s011.JPG train_labels_sub\DJI_0418_s011.png
train_sub\DJI_0002_s010.JPG train_labels_sub\DJI_0002_s010.png
train_sub\000001_s001.JPG train_labels_sub\000001_s001.png
train_sub\DJI_0047_s001.JPG train_labels_sub\DJI_0047_s001.png
train_sub\DJI_0523_s008.JPG train_labels_sub\DJI_0523_s008.png
train_sub\DJI_0558_heda_s007.JPG train_labels_sub\DJI_0558_heda_s007.png
train_sub\DJI_00566_s008.JPG train_labels_sub\DJI_00566_s008.png
train_sub\DJI_0394_s003.JPG train_labels_sub\DJI_0394_s003.png
train_sub\0119_3img2011_s010.JPG train_labels_sub\0119_3img2011_s010.png
train_sub\DJI_0319_s003.JPG train_labels_sub\DJI_0319_s003.png
train_sub\DJI_0369_heda_s007.JPG train_labels_sub\DJI_0369_heda_s007.png
train_sub\DJI_0409_heda_s012.JPG train_labels_sub\DJI_0409_heda_s012.png
train_sub\001441_s002.JPG train_labels_sub\001441_s002.png
train_sub\DJI_00554_s006.JPG train_labels_sub\DJI_00554_s006.png
train_sub\0119_5img2001_s005.JPG train_labels_sub\0119_5img2001_s005.png
train_sub\DJI_00550_s007.JPG train_labels_sub\DJI_00550_s007.png
train_sub\DJI_0548_heda_s005.JPG train_labels_sub\DJI_0548_heda_s005.png
train_sub\000201_s003.JPG train_labels_sub\000201_s003.png
train_sub\000241_s012.JPG train_labels_sub\000241_s012.png
train_sub\001441_s005.JPG train_labels_sub\001441_s005.png
train_sub\DJI_00566_s001.JPG train_labels_sub\DJI_00566_s001.png
train_sub\001541_s010.JPG train_labels_sub\001541_s010.png
train_sub\DJI_00584_s001.JPG train_labels_sub\DJI_00584_s001.png
train_sub\DJI_0309_s012.JPG train_labels_sub\DJI_0309_s012.png
train_sub\DJI_0379_s010.JPG train_labels_sub\DJI_0379_s010.png
train_sub\DJI_0424_heda_s010.JPG train_labels_sub\DJI_0424_heda_s010.png
train_sub\DJI_0616_s003.JPG train_labels_sub\DJI_0616_s003.png
train_sub\DJI_0041_s009.JPG train_labels_sub\DJI_0041_s009.png
train_sub\DJI_0382_s001.JPG train_labels_sub\DJI_0382_s001.png
train_sub\DJI_0424_heda_s001.JPG train_labels_sub\DJI_0424_heda_s001.png
train_sub\DJI_0119_s011.JPG train_labels_sub\DJI_0119_s011.png
train_sub\DJI_0369_heda_s002.JPG train_labels_sub\DJI_0369_heda_s002.png
train_sub\DJI_00566_s002.JPG train_labels_sub\DJI_00566_s002.png
train_sub\001341_s008.JPG train_labels_sub\001341_s008.png
train_sub\DJI_0400_s004.JPG train_labels_sub\DJI_0400_s004.png
train_sub\DJI_0297_s010.JPG train_labels_sub\DJI_0297_s010.png
train_sub\DJI_0647_s011.JPG train_labels_sub\DJI_0647_s011.png
train_sub\DJI_0616_s002.JPG train_labels_sub\DJI_0616_s002.png
train_sub\DJI_0424_heda_s009.JPG train_labels_sub\DJI_0424_heda_s009.png
train_sub\DJI_0394_s005.JPG train_labels_sub\DJI_0394_s005.png
train_sub\000141_s012.JPG train_labels_sub\000141_s012.png
train_sub\001301_s005.JPG train_labels_sub\001301_s005.png
train_sub\DJI_0667_s010.JPG train_labels_sub\DJI_0667_s010.png
train_sub\DJI_00529_s012.JPG train_labels_sub\DJI_00529_s012.png
train_sub\0119_5img3021_s004.JPG train_labels_sub\0119_5img3021_s004.png
train_sub\DJI_0288_s006.JPG train_labels_sub\DJI_0288_s006.png
train_sub\DJI_0319_s006.JPG train_labels_sub\DJI_0319_s006.png
train_sub\DJI_00539_s008.JPG train_labels_sub\DJI_00539_s008.png
train_sub\DJI_00554_s003.JPG train_labels_sub\DJI_00554_s003.png
train_sub\DJI_0499_s011.JPG train_labels_sub\DJI_0499_s011.png
train_sub\0119_3img3021_s004.JPG train_labels_sub\0119_3img3021_s004.png
train_sub\DJI_0519_heda_s004.JPG train_labels_sub\DJI_0519_heda_s004.png
train_sub\DJI_0613_s004.JPG train_labels_sub\DJI_0613_s004.png
train_sub\DJI_0011_s008.JPG train_labels_sub\DJI_0011_s008.png
train_sub\DJI_00576_s004.JPG train_labels_sub\DJI_00576_s004.png
train_sub\DJI_00587_s007.JPG train_labels_sub\DJI_00587_s007.png
train_sub\0119_5img2011_s008.JPG train_labels_sub\0119_5img2011_s008.png
train_sub\0119_5img3021_s007.JPG train_labels_sub\0119_5img3021_s007.png
train_sub\DJI_0041_s006.JPG train_labels_sub\DJI_0041_s006.png
train_sub\DJI_0369_heda_s004.JPG train_labels_sub\DJI_0369_heda_s004.png
train_sub\DJI_0529_s006.JPG train_labels_sub\DJI_0529_s006.png
train_sub\DJI_0431_heda_s010.JPG train_labels_sub\DJI_0431_heda_s010.png
train_sub\DJI_0297_s009.JPG train_labels_sub\DJI_0297_s009.png
train_sub\DJI_0496_s001.JPG train_labels_sub\DJI_0496_s001.png
train_sub\DJI_0493_s009.JPG train_labels_sub\DJI_0493_s009.png
train_sub\DJI_0011_s012.JPG train_labels_sub\DJI_0011_s012.png
train_sub\001201_s009.JPG train_labels_sub\001201_s009.png
train_sub\DJI_0306_s008.JPG train_labels_sub\DJI_0306_s008.png
train_sub\000241_s003.JPG train_labels_sub\000241_s003.png
train_sub\0119_5img3021_s011.JPG train_labels_sub\0119_5img3021_s011.png
train_sub\DJI_0306_s011.JPG train_labels_sub\DJI_0306_s011.png
train_sub\DJI_0400_s010.JPG train_labels_sub\DJI_0400_s010.png
train_sub\DJI_0379_s007.JPG train_labels_sub\DJI_0379_s007.png
train_sub\DJI_0389_heda_s007.JPG train_labels_sub\DJI_0389_heda_s007.png
train_sub\DJI_0394_s001.JPG train_labels_sub\DJI_0394_s001.png
train_sub\DJI_0409_heda_s005.JPG train_labels_sub\DJI_0409_heda_s005.png
train_sub\DJI_0294_s005.JPG train_labels_sub\DJI_0294_s005.png
train_sub\0119_5img2011_s012.JPG train_labels_sub\0119_5img2011_s012.png
train_sub\DJI_0409_s005.JPG train_labels_sub\DJI_0409_s005.png
train_sub\000121_s012.JPG train_labels_sub\000121_s012.png
train_sub\DJI_0548_heda_s008.JPG train_labels_sub\DJI_0548_heda_s008.png
train_sub\0119_4img3031_s010.JPG train_labels_sub\0119_4img3031_s010.png
train_sub\DJI_0418_s006.JPG train_labels_sub\DJI_0418_s006.png
train_sub\DJI_0517_s009.JPG train_labels_sub\DJI_0517_s009.png
train_sub\DJI_0285_s009.JPG train_labels_sub\DJI_0285_s009.png
train_sub\001321_s012.JPG train_labels_sub\001321_s012.png
train_sub\DJI_00554_s012.JPG train_labels_sub\DJI_00554_s012.png
train_sub\DJI_0412_s008.JPG train_labels_sub\DJI_0412_s008.png
train_sub\DJI_0047_s005.JPG train_labels_sub\DJI_0047_s005.png
train_sub\000041_s004.JPG train_labels_sub\000041_s004.png
train_sub\DJI_0309_s002.JPG train_labels_sub\DJI_0309_s002.png
train_sub\DJI_0002_s007.JPG train_labels_sub\DJI_0002_s007.png
train_sub\DJI_0667_s006.JPG train_labels_sub\DJI_0667_s006.png
train_sub\DJI_0412_s003.JPG train_labels_sub\DJI_0412_s003.png
train_sub\DJI_0505_s004.JPG train_labels_sub\DJI_0505_s004.png
train_sub\DJI_0400_heda_s003.JPG train_labels_sub\DJI_0400_heda_s003.png
train_sub\DJI_0119_s004.JPG train_labels_sub\DJI_0119_s004.png
train_sub\DJI_00550_s002.JPG train_labels_sub\DJI_00550_s002.png
train_sub\DJI_0389_heda_s002.JPG train_labels_sub\DJI_0389_heda_s002.png
train_sub\0119_3img2011_s001.JPG train_labels_sub\0119_3img2011_s001.png
train_sub\001501_s003.JPG train_labels_sub\001501_s003.png
train_sub\DJI_0529_s001.JPG train_labels_sub\DJI_0529_s001.png
train_sub\0119_3img3041_s006.JPG train_labels_sub\0119_3img3041_s006.png
train_sub\DJI_00586_s004.JPG train_labels_sub\DJI_00586_s004.png
train_sub\001441_s006.JPG train_labels_sub\001441_s006.png
train_sub\DJI_0499_s008.JPG train_labels_sub\DJI_0499_s008.png
train_sub\DJI_0319_s010.JPG train_labels_sub\DJI_0319_s010.png
train_sub\DJI_0369_heda_s010.JPG train_labels_sub\DJI_0369_heda_s010.png
train_sub\0119_3img2041_s003.JPG train_labels_sub\0119_3img2041_s003.png
train_sub\DJI_0306_s012.JPG train_labels_sub\DJI_0306_s012.png
train_sub\DJI_0322_s009.JPG train_labels_sub\DJI_0322_s009.png
train_sub\DJI_0508_s006.JPG train_labels_sub\DJI_0508_s006.png
train_sub\DJI_0535_s009.JPG train_labels_sub\DJI_0535_s009.png
train_sub\001301_s012.JPG train_labels_sub\001301_s012.png
train_sub\DJI_0394_s010.JPG train_labels_sub\DJI_0394_s010.png
train_sub\0119_5img1011_s006.JPG train_labels_sub\0119_5img1011_s006.png
train_sub\DJI_00539_s006.JPG train_labels_sub\DJI_00539_s006.png
train_sub\DJI_0499_s012.JPG train_labels_sub\DJI_0499_s012.png
train_sub\DJI_0647_s004.JPG train_labels_sub\DJI_0647_s004.png
train_sub\000221_s008.JPG train_labels_sub\000221_s008.png
train_sub\0119_5img3021_s012.JPG train_labels_sub\0119_5img3021_s012.png
train_sub\DJI_00550_s004.JPG train_labels_sub\DJI_00550_s004.png
train_sub\0119_3img2041_s010.JPG train_labels_sub\0119_3img2041_s010.png
train_sub\DJI_0400_s003.JPG train_labels_sub\DJI_0400_s003.png
train_sub\0119_5img3021_s010.JPG train_labels_sub\0119_5img3021_s010.png
train_sub\DJI_0593_s011.JPG train_labels_sub\DJI_0593_s011.png
train_sub\DJI_0294_s004.JPG train_labels_sub\DJI_0294_s004.png
train_sub\000121_s007.JPG train_labels_sub\000121_s007.png
train_sub\000001_s006.JPG train_labels_sub\000001_s006.png
train_sub\000121_s003.JPG train_labels_sub\000121_s003.png
train_sub\DJI_0593_s006.JPG train_labels_sub\DJI_0593_s006.png
train_sub\DJI_0538_s006.JPG train_labels_sub\DJI_0538_s006.png
train_sub\DJI_0529_s010.JPG train_labels_sub\DJI_0529_s010.png
train_sub\001441_s007.JPG train_labels_sub\001441_s007.png
train_sub\DJI_0496_s008.JPG train_labels_sub\DJI_0496_s008.png
train_sub\0119_3img3021_s008.JPG train_labels_sub\0119_3img3021_s008.png
train_sub\DJI_0379_s005.JPG train_labels_sub\DJI_0379_s005.png
train_sub\DJI_0047_s004.JPG train_labels_sub\DJI_0047_s004.png
train_sub\DJI_0389_heda_s003.JPG train_labels_sub\DJI_0389_heda_s003.png
train_sub\DJI_00566_s004.JPG train_labels_sub\DJI_00566_s004.png
train_sub\DJI_0647_s001.JPG train_labels_sub\DJI_0647_s001.png
train_sub\DJI_0306_s007.JPG train_labels_sub\DJI_0306_s007.png
train_sub\DJI_0431_heda_s009.JPG train_labels_sub\DJI_0431_heda_s009.png
train_sub\DJI_0391_s003.JPG train_labels_sub\DJI_0391_s003.png
train_sub\DJI_0294_s009.JPG train_labels_sub\DJI_0294_s009.png
train_sub\DJI_0297_s011.JPG train_labels_sub\DJI_0297_s011.png
train_sub\DJI_0535_s004.JPG train_labels_sub\DJI_0535_s004.png
train_sub\001401_s006.JPG train_labels_sub\001401_s006.png
train_sub\DJI_0505_s002.JPG train_labels_sub\DJI_0505_s002.png
train_sub\DJI_0389_heda_s008.JPG train_labels_sub\DJI_0389_heda_s008.png
train_sub\DJI_0385_s002.JPG train_labels_sub\DJI_0385_s002.png
train_sub\DJI_0519_heda_s006.JPG train_labels_sub\DJI_0519_heda_s006.png
train_sub\0119_5img2011_s002.JPG train_labels_sub\0119_5img2011_s002.png
train_sub\000221_s004.JPG train_labels_sub\000221_s004.png
train_sub\DJI_0382_s006.JPG train_labels_sub\DJI_0382_s006.png
train_sub\DJI_0400_heda_s010.JPG train_labels_sub\DJI_0400_heda_s010.png
train_sub\0119_4img2031_s010.JPG train_labels_sub\0119_4img2031_s010.png
train_sub\DJI_0119_s003.JPG train_labels_sub\DJI_0119_s003.png
train_sub\DJI_0431_heda_s011.JPG train_labels_sub\DJI_0431_heda_s011.png
train_sub\DJI_0285_s006.JPG train_labels_sub\DJI_0285_s006.png
train_sub\000141_s011.JPG train_labels_sub\000141_s011.png
train_sub\DJI_00539_s009.JPG train_labels_sub\DJI_00539_s009.png
train_sub\DJI_0502_s012.JPG train_labels_sub\DJI_0502_s012.png
train_sub\000341_s006.JPG train_labels_sub\000341_s006.png
train_sub\DJI_0119_s002.JPG train_labels_sub\DJI_0119_s002.png
train_sub\DJI_0593_s012.JPG train_labels_sub\DJI_0593_s012.png
train_sub\DJI_0505_s011.JPG train_labels_sub\DJI_0505_s011.png
train_sub\000301_s012.JPG train_labels_sub\000301_s012.png
train_sub\001341_s011.JPG train_labels_sub\001341_s011.png
train_sub\DJI_0493_s006.JPG train_labels_sub\DJI_0493_s006.png
train_sub\DJI_0499_s006.JPG train_labels_sub\DJI_0499_s006.png
train_sub\0119_3img2021_s007.JPG train_labels_sub\0119_3img2021_s007.png
train_sub\0119_4img1011_s004.JPG train_labels_sub\0119_4img1011_s004.png
train_sub\DJI_00539_s003.JPG train_labels_sub\DJI_00539_s003.png
train_sub\0119_3img2041_s002.JPG train_labels_sub\0119_3img2041_s002.png
train_sub\0119_3img3041_s002.JPG train_labels_sub\0119_3img3041_s002.png
train_sub\DJI_0418_s010.JPG train_labels_sub\DJI_0418_s010.png
train_sub\000001_s008.JPG train_labels_sub\000001_s008.png
train_sub\001421_s006.JPG train_labels_sub\001421_s006.png
train_sub\0119_5img2001_s012.JPG train_labels_sub\0119_5img2001_s012.png
train_sub\000121_s008.JPG train_labels_sub\000121_s008.png
train_sub\DJI_0389_heda_s012.JPG train_labels_sub\DJI_0389_heda_s012.png
train_sub\DJI_0011_s003.JPG train_labels_sub\DJI_0011_s003.png
train_sub\DJI_00529_s002.JPG train_labels_sub\DJI_00529_s002.png
train_sub\0119_3img3041_s003.JPG train_labels_sub\0119_3img3041_s003.png
train_sub\DJI_0616_s001.JPG train_labels_sub\DJI_0616_s001.png
train_sub\DJI_0047_s003.JPG train_labels_sub\DJI_0047_s003.png
train_sub\DJI_0001_s011.JPG train_labels_sub\DJI_0001_s011.png
train_sub\DJI_0526_s005.JPG train_labels_sub\DJI_0526_s005.png
train_sub\DJI_0400_heda_s005.JPG train_labels_sub\DJI_0400_heda_s005.png
train_sub\DJI_0647_s007.JPG train_labels_sub\DJI_0647_s007.png
train_sub\DJI_00555_s006.JPG train_labels_sub\DJI_00555_s006.png
train_sub\DJI_00554_s001.JPG train_labels_sub\DJI_00554_s001.png
train_sub\DJI_0499_s005.JPG train_labels_sub\DJI_0499_s005.png
train_sub\DJI_00527_s009.JPG train_labels_sub\DJI_00527_s009.png
train_sub\DJI_0558_heda_s011.JPG train_labels_sub\DJI_0558_heda_s011.png
train_sub\DJI_0493_s011.JPG train_labels_sub\DJI_0493_s011.png
train_sub\000221_s003.JPG train_labels_sub\000221_s003.png
train_sub\DJI_00587_s001.JPG train_labels_sub\DJI_00587_s001.png
train_sub\DJI_0502_s001.JPG train_labels_sub\DJI_0502_s001.png
train_sub\0119_4img2031_s001.JPG train_labels_sub\0119_4img2031_s001.png
train_sub\DJI_0519_heda_s008.JPG train_labels_sub\DJI_0519_heda_s008.png
train_sub\DJI_0001_s002.JPG train_labels_sub\DJI_0001_s002.png
train_sub\DJI_00550_s001.JPG train_labels_sub\DJI_00550_s001.png
train_sub\DJI_0505_s009.JPG train_labels_sub\DJI_0505_s009.png
train_sub\DJI_00576_s006.JPG train_labels_sub\DJI_00576_s006.png
train_sub\DJI_0300_s002.JPG train_labels_sub\DJI_0300_s002.png
train_sub\DJI_0529_s002.JPG train_labels_sub\DJI_0529_s002.png
train_sub\000101_s010.JPG train_labels_sub\000101_s010.png
train_sub\DJI_0369_heda_s005.JPG train_labels_sub\DJI_0369_heda_s005.png
train_sub\000021_s009.JPG train_labels_sub\000021_s009.png
train_sub\DJI_0288_s007.JPG train_labels_sub\DJI_0288_s007.png
train_sub\0119_3img2021_s005.JPG train_labels_sub\0119_3img2021_s005.png
train_sub\DJI_0306_s009.JPG train_labels_sub\DJI_0306_s009.png
train_sub\DJI_0002_s005.JPG train_labels_sub\DJI_0002_s005.png
train_sub\DJI_00555_s001.JPG train_labels_sub\DJI_00555_s001.png
train_sub\DJI_0493_s010.JPG train_labels_sub\DJI_0493_s010.png
train_sub\DJI_0382_s005.JPG train_labels_sub\DJI_0382_s005.png
train_sub\0119_5img2011_s003.JPG train_labels_sub\0119_5img2011_s003.png
train_sub\DJI_0558_heda_s004.JPG train_labels_sub\DJI_0558_heda_s004.png
train_sub\DJI_00529_s001.JPG train_labels_sub\DJI_00529_s001.png
train_sub\DJI_0647_s008.JPG train_labels_sub\DJI_0647_s008.png
train_sub\DJI_0001_s001.JPG train_labels_sub\DJI_0001_s001.png
train_sub\DJI_0306_s001.JPG train_labels_sub\DJI_0306_s001.png
train_sub\0119_4img1011_s008.JPG train_labels_sub\0119_4img1011_s008.png
train_sub\0119_3img3041_s009.JPG train_labels_sub\0119_3img3041_s009.png
train_sub\DJI_00571_s004.JPG train_labels_sub\DJI_00571_s004.png
train_sub\000121_s011.JPG train_labels_sub\000121_s011.png
train_sub\DJI_0593_s009.JPG train_labels_sub\DJI_0593_s009.png
train_sub\000321_s009.JPG train_labels_sub\000321_s009.png
train_sub\DJI_0424_heda_s005.JPG train_labels_sub\DJI_0424_heda_s005.png
train_sub\DJI_0306_s003.JPG train_labels_sub\DJI_0306_s003.png
train_sub\DJI_0309_s009.JPG train_labels_sub\DJI_0309_s009.png
train_sub\DJI_0119_s010.JPG train_labels_sub\DJI_0119_s010.png
train_sub\0119_4img1011_s007.JPG train_labels_sub\0119_4img1011_s007.png
train_sub\DJI_0306_s010.JPG train_labels_sub\DJI_0306_s010.png
train_sub\DJI_0300_s001.JPG train_labels_sub\DJI_0300_s001.png
train_sub\DJI_00530_s010.JPG train_labels_sub\DJI_00530_s010.png
train_sub\0119_5img3021_s008.JPG train_labels_sub\0119_5img3021_s008.png
train_sub\DJI_0647_s009.JPG train_labels_sub\DJI_0647_s009.png
train_sub\DJI_0418_s002.JPG train_labels_sub\DJI_0418_s002.png
train_sub\DJI_00527_s004.JPG train_labels_sub\DJI_00527_s004.png
train_sub\DJI_0558_heda_s006.JPG train_labels_sub\DJI_0558_heda_s006.png
train_sub\DJI_0294_s008.JPG train_labels_sub\DJI_0294_s008.png
train_sub\DJI_0616_s007.JPG train_labels_sub\DJI_0616_s007.png
train_sub\DJI_00529_s009.JPG train_labels_sub\DJI_00529_s009.png
train_sub\DJI_0319_s007.JPG train_labels_sub\DJI_0319_s007.png
train_sub\DJI_00529_s007.JPG train_labels_sub\DJI_00529_s007.png
train_sub\000041_s002.JPG train_labels_sub\000041_s002.png
train_sub\001441_s001.JPG train_labels_sub\001441_s001.png
train_sub\DJI_00530_s004.JPG train_labels_sub\DJI_00530_s004.png
train_sub\0119_5img2001_s011.JPG train_labels_sub\0119_5img2001_s011.png
train_sub\DJI_0011_s009.JPG train_labels_sub\DJI_0011_s009.png
train_sub\DJI_0322_s004.JPG train_labels_sub\DJI_0322_s004.png
train_sub\DJI_0288_s003.JPG train_labels_sub\DJI_0288_s003.png
train_sub\000321_s003.JPG train_labels_sub\000321_s003.png
train_sub\DJI_0369_heda_s011.JPG train_labels_sub\DJI_0369_heda_s011.png
train_sub\DJI_00554_s002.JPG train_labels_sub\DJI_00554_s002.png
train_sub\DJI_0400_s007.JPG train_labels_sub\DJI_0400_s007.png
train_sub\DJI_0382_s012.JPG train_labels_sub\DJI_0382_s012.png
train_sub\DJI_0523_s003.JPG train_labels_sub\DJI_0523_s003.png
train_sub\0119_3img2041_s005.JPG train_labels_sub\0119_3img2041_s005.png
train_sub\DJI_0400_s006.JPG train_labels_sub\DJI_0400_s006.png
train_sub\DJI_00530_s007.JPG train_labels_sub\DJI_00530_s007.png
train_sub\DJI_0421_s003.JPG train_labels_sub\DJI_0421_s003.png
train_sub\000321_s005.JPG train_labels_sub\000321_s005.png
train_sub\DJI_0424_heda_s004.JPG train_labels_sub\DJI_0424_heda_s004.png
train_sub\DJI_0400_s001.JPG train_labels_sub\DJI_0400_s001.png
train_sub\DJI_0502_s004.JPG train_labels_sub\DJI_0502_s004.png
train_sub\DJI_0535_s010.JPG train_labels_sub\DJI_0535_s010.png
train_sub\DJI_00527_s010.JPG train_labels_sub\DJI_00527_s010.png
train_sub\DJI_0385_s007.JPG train_labels_sub\DJI_0385_s007.png
train_sub\DJI_0409_heda_s009.JPG train_labels_sub\DJI_0409_heda_s009.png
train_sub\001221_s001.JPG train_labels_sub\001221_s001.png
train_sub\000301_s007.JPG train_labels_sub\000301_s007.png
train_sub\000301_s008.JPG train_labels_sub\000301_s008.png
train_sub\DJI_0297_s002.JPG train_labels_sub\DJI_0297_s002.png
train_sub\DJI_00584_s002.JPG train_labels_sub\DJI_00584_s002.png
train_sub\001401_s012.JPG train_labels_sub\001401_s012.png
train_sub\000241_s009.JPG train_labels_sub\000241_s009.png
train_sub\DJI_00584_s003.JPG train_labels_sub\DJI_00584_s003.png
train_sub\DJI_0593_s003.JPG train_labels_sub\DJI_0593_s003.png
train_sub\001541_s001.JPG train_labels_sub\001541_s001.png
train_sub\DJI_0519_heda_s009.JPG train_labels_sub\DJI_0519_heda_s009.png
train_sub\DJI_00550_s003.JPG train_labels_sub\DJI_00550_s003.png
train_sub\DJI_0403_s008.JPG train_labels_sub\DJI_0403_s008.png
train_sub\DJI_0613_s001.JPG train_labels_sub\DJI_0613_s001.png
train_sub\DJI_0403_s009.JPG train_labels_sub\DJI_0403_s009.png
train_sub\DJI_0543_heda_s002.JPG train_labels_sub\DJI_0543_heda_s002.png
train_sub\DJI_0300_s003.JPG train_labels_sub\DJI_0300_s003.png
train_sub\DJI_0312_s003.JPG train_labels_sub\DJI_0312_s003.png
train_sub\000341_s012.JPG train_labels_sub\000341_s012.png
train_sub\DJI_0400_heda_s011.JPG train_labels_sub\DJI_0400_heda_s011.png
train_sub\DJI_0517_s001.JPG train_labels_sub\DJI_0517_s001.png
train_sub\DJI_0322_s007.JPG train_labels_sub\DJI_0322_s007.png
train_sub\000101_s009.JPG train_labels_sub\000101_s009.png
train_sub\001341_s010.JPG train_labels_sub\001341_s010.png
train_sub\0119_4img1011_s003.JPG train_labels_sub\0119_4img1011_s003.png
train_sub\DJI_0424_heda_s011.JPG train_labels_sub\DJI_0424_heda_s011.png
train_sub\DJI_0548_heda_s004.JPG train_labels_sub\DJI_0548_heda_s004.png
train_sub\0119_3img3021_s011.JPG train_labels_sub\0119_3img3021_s011.png
train_sub\DJI_0389_heda_s010.JPG train_labels_sub\DJI_0389_heda_s010.png
train_sub\DJI_0505_s003.JPG train_labels_sub\DJI_0505_s003.png
train_sub\001401_s007.JPG train_labels_sub\001401_s007.png
train_sub\001321_s001.JPG train_labels_sub\001321_s001.png
train_sub\DJI_0502_s007.JPG train_labels_sub\DJI_0502_s007.png
train_sub\000301_s004.JPG train_labels_sub\000301_s004.png
train_sub\DJI_0613_s007.JPG train_labels_sub\DJI_0613_s007.png
train_sub\000321_s002.JPG train_labels_sub\000321_s002.png
train_sub\DJI_0047_s010.JPG train_labels_sub\DJI_0047_s010.png
train_sub\DJI_0400_heda_s007.JPG train_labels_sub\DJI_0400_heda_s007.png
